card_id,card_name,issuer,annual_fee,min_income_req,min_credit_score,primary_reward,reward_rate,perks,description
CARD_000,EcoCredit Black 0,NovaFinance,995,25000,650,Dining,0.015,Concierge,Premium financial product for targeted spending.
CARD_001,TitaniumTrust Infinite 1,NovaFinance,995,50000,750,Cashback,0.019,Lounge,Premium financial product for targeted spending.
CARD_002,GlobalBank Infinite 2,ApexCard,995,200000,600,Travel,0.036,Concierge,Premium financial product for targeted spending.
CARD_003,ApexCard Infinite 3,EcoCredit,550,200000,700,Shopping,0.036,None,Premium financial product for targeted spending.
CARD_004,GlobalBank Signature 4,TitaniumTrust,250,100000,800,Travel,0.013,None,Premium financial product for targeted spending.
CARD_005,GlobalBank Infinite 5,ApexCard,95,25000,650,Fuel,0.022,None,Premium financial product for targeted spending.
CARD_006,EcoCredit Signature 6,EcoCredit,995,200000,700,Travel,0.023,None,Premium financial product for targeted spending.
CARD_007,EcoCredit Gold 7,ApexCard,550,50000,800,Cashback,0.049,Insurance,Premium financial product for targeted spending.
CARD_008,ApexCard Gold 8,EcoCredit,550,25000,800,Fuel,0.024,Lounge,Premium financial product for targeted spending.
CARD_009,ApexCard Black 9,EcoCredit,550,200000,800,Travel,0.025,Lounge,Premium financial product for targeted spending.
CARD_010,GlobalBank Black 10,GlobalBank,0,200000,700,Dining,0.045,Concierge,Premium financial product for targeted spending.
CARD_011,NovaFinance Black 11,NovaFinance,995,50000,650,Travel,0.056,Lounge,Premium financial product for targeted spending.
CARD_012,EcoCredit Gold 12,GlobalBank,995,100000,750,Dining,0.038,Concierge,Premium financial product for targeted spending.
CARD_013,TitaniumTrust Signature 13,NovaFinance,0,25000,650,Dining,0.036,Concierge,Premium financial product for targeted spending.
CARD_014,ApexCard Gold 14,EcoCredit,995,100000,600,Shopping,0.038,None,Premium financial product for targeted spending.
CARD_015,TitaniumTrust Signature 15,TitaniumTrust,250,25000,750,Fuel,0.014,Concierge,Premium financial product for targeted spending.
CARD_016,NovaFinance Gold 16,EcoCredit,95,50000,800,Travel,0.015,None,Premium financial product for targeted spending.
CARD_017,EcoCredit Infinite 17,EcoCredit,550,50000,700,Cashback,0.016,Lounge,Premium financial product for targeted spending.
CARD_018,GlobalBank Black 18,GlobalBank,250,50000,600,Shopping,0.028,Concierge,Premium financial product for targeted spending.
CARD_019,NovaFinance Black 19,TitaniumTrust,0,100000,650,Shopping,0.022,Concierge,Premium financial product for targeted spending.
CARD_020,GlobalBank Infinite 20,GlobalBank,0,50000,750,Shopping,0.023,Insurance,Premium financial product for targeted spending.
CARD_021,NovaFinance Black 21,TitaniumTrust,0,200000,600,Dining,0.04,Insurance,Premium financial product for targeted spending.
CARD_022,EcoCredit Gold 22,TitaniumTrust,0,25000,700,Cashback,0.037,Insurance,Premium financial product for targeted spending.
CARD_023,EcoCredit Signature 23,NovaFinance,250,25000,800,Shopping,0.059,Insurance,Premium financial product for targeted spending.
CARD_024,NovaFinance Signature 24,GlobalBank,0,200000,700,Fuel,0.053,None,Premium financial product for targeted spending.
CARD_025,NovaFinance Infinite 25,NovaFinance,95,100000,700,Shopping,0.042,None,Premium financial product for targeted spending.
CARD_026,GlobalBank Black 26,ApexCard,0,100000,750,Travel,0.016,Concierge,Premium financial product for targeted spending.
CARD_027,ApexCard Signature 27,EcoCredit,95,200000,600,Shopping,0.036,Insurance,Premium financial product for targeted spending.
CARD_028,GlobalBank Infinite 28,EcoCredit,995,25000,700,Travel,0.024,Concierge,Premium financial product for targeted spending.
CARD_029,NovaFinance Infinite 29,GlobalBank,550,100000,600,Shopping,0.055,None,Premium financial product for targeted spending.
