customer_id,age,monthly_income,credit_score,employment_status,monthly_total_spend,travel_spend,dining_spend,online_shopping_spend,fuel_spend,preferred_reward
CUST_0000,55,11933,705,Retired,5552,3746,646,4042,148,Cashback
CUST_0001,68,17025,821,Freelance,10284,449,2048,3667,271,Travel
CUST_0002,45,24898,724,Executive,6295,1354,560,521,298,Shopping
CUST_0003,55,1589,653,Freelance,4009,3324,1119,1525,171,Dining
CUST_0004,45,19593,641,Retired,8198,3752,712,1469,46,Shopping
CUST_0005,49,11861,735,Executive,7543,1986,412,2675,206,Cashback
CUST_0006,38,17869,832,Retired,6448,1308,537,1513,452,Fuel
CUST_0007,66,4541,730,Retired,5971,1297,1878,4876,394,Fuel
CUST_0008,38,1605,719,Retired,8690,2067,2476,1451,300,Cashback
CUST_0009,22,10578,736,Executive,1124,2286,234,4654,175,Travel
CUST_0010,74,19779,724,Full-time,10985,1293,2396,3430,109,Shopping
CUST_0011,55,7590,771,Executive,11762,2465,1779,3007,201,Fuel
CUST_0012,36,7582,782,Retired,11575,3381,1893,3124,167,Travel
CUST_0013,61,18518,711,Executive,4357,3102,1504,1753,85,Cashback
CUST_0014,56,3425,683,Retired,4387,1849,1862,4955,50,Travel
CUST_0015,53,19940,773,Full-time,951,3175,2443,1612,111,Cashback
CUST_0016,24,8417,702,Freelance,1754,3753,1374,3275,462,Shopping
CUST_0017,53,21028,582,Full-time,5154,185,415,555,441,Travel
CUST_0018,34,2052,604,Full-time,11363,3199,1909,4251,270,Shopping
CUST_0019,41,23267,556,Freelance,7960,1233,915,2049,576,Travel
CUST_0020,68,5411,793,Executive,10183,1437,80,824,343,Cashback
CUST_0021,40,4889,675,Freelance,1487,3352,2083,2849,182,Cashback
CUST_0022,76,15129,561,Executive,9301,252,1090,3030,502,Travel
CUST_0023,28,3930,565,Executive,10494,18,1690,1081,9,Cashback
CUST_0024,27,1958,757,Retired,3927,2759,756,3325,493,Dining
CUST_0025,23,14895,592,Retired,7563,3803,467,492,233,Dining
CUST_0026,37,1707,684,Freelance,4195,1159,1165,4764,297,Shopping
CUST_0027,53,2399,777,Full-time,9805,222,2403,74,243,Dining
CUST_0028,68,13153,660,Freelance,1645,2,1494,2991,508,Dining
CUST_0029,32,17905,709,Executive,1964,1259,1644,3360,350,Fuel
CUST_0030,79,10101,813,Retired,6704,853,1019,370,266,Fuel
CUST_0031,71,2394,774,Freelance,10759,1488,1614,4682,200,Fuel
CUST_0032,42,2014,766,Freelance,6160,227,901,328,238,Fuel
CUST_0033,75,22788,594,Retired,1154,2960,672,4685,333,Cashback
CUST_0034,42,5609,763,Retired,2672,1677,438,1790,414,Shopping
CUST_0035,66,14758,608,Retired,2824,498,126,776,483,Shopping
CUST_0036,50,16813,681,Executive,3617,2568,2252,2022,436,Dining
CUST_0037,58,16849,653,Retired,4632,2749,2076,4674,245,Shopping
CUST_0038,58,8679,744,Full-time,9057,1885,444,4316,7,Dining
CUST_0039,65,11826,706,Freelance,11513,2964,965,1187,151,Shopping
CUST_0040,71,13287,647,Retired,3381,3748,463,1503,391,Travel
CUST_0041,74,3060,775,Retired,10382,2015,2198,3291,210,Travel
CUST_0042,28,15112,754,Executive,10122,1162,2287,3325,366,Shopping
CUST_0043,47,19150,628,Executive,3286,1299,2313,187,569,Cashback
CUST_0044,47,21522,673,Freelance,9826,2338,912,1214,85,Dining
CUST_0045,54,21311,767,Full-time,9218,1076,496,3286,54,Shopping
CUST_0046,41,6280,553,Freelance,3243,3758,1463,3446,445,Dining
CUST_0047,50,19811,639,Retired,9719,3181,1771,1109,303,Fuel
CUST_0048,53,13394,653,Full-time,1836,714,157,2521,131,Shopping
CUST_0049,48,3856,668,Full-time,10824,947,171,4939,420,Cashback
CUST_0050,67,6290,682,Full-time,11732,2695,493,3879,384,Fuel
CUST_0051,53,18190,645,Full-time,9484,3075,969,530,197,Shopping
CUST_0052,25,21549,692,Freelance,8235,3738,1334,1070,46,Travel
CUST_0053,68,11681,837,Executive,2348,2731,1426,3136,202,Shopping
CUST_0054,39,8557,577,Executive,10135,869,1692,962,260,Travel
CUST_0055,24,17582,827,Retired,5865,1070,1793,1405,23,Travel
CUST_0056,55,2161,782,Executive,7296,93,658,3137,339,Shopping
CUST_0057,69,6144,566,Executive,6983,2987,665,516,411,Shopping
CUST_0058,37,17211,608,Executive,4757,559,366,3164,260,Travel
CUST_0059,64,4420,639,Executive,4207,1775,549,1491,285,Dining
CUST_0060,48,17502,748,Retired,1439,3930,642,3689,512,Fuel
CUST_0061,50,15525,575,Freelance,972,2260,1893,4228,85,Cashback
CUST_0062,49,10446,574,Full-time,6466,435,254,4409,429,Shopping
CUST_0063,66,14232,816,Executive,5154,851,207,590,580,Fuel
